#{"t_start": 1767728456.709603, "env_id": null}
r,l,t
-1008.643179,42,0.964828
-806.426103,45,0.972315
-1007.4576,33,0.977698
-1009.904948,38,0.984009
-1006.440064,33,0.990073
-1005.331294,33,0.995716
-913.471646,70,1.006848
-1008.198986,32,1.012321
-1006.590183,47,1.019811
-1007.230224,33,1.025581
-1007.122733,37,1.031788
-1007.905259,39,1.038848
-1016.667473,75,1.05133
-1007.343668,38,1.057378
-1005.865317,41,1.063888
-1008.828497,41,1.070304
-907.370174,37,1.076334
-909.449787,39,1.082774
-908.504668,46,1.090338
-1006.039646,39,1.09665
-1009.559082,61,1.106752
-910.288104,43,1.113757
-1006.8815,40,1.120505
-1010.575681,42,1.127425
-1013.828293,52,1.135967
-1012.186242,41,1.14262
-1004.79877,37,1.148491
-1006.599753,50,1.156219
-1009.266966,44,1.163048
-1012.336983,41,1.169502
-1011.676229,42,1.17619
-1005.433537,52,1.184412
-1007.333991,41,1.1909
-1009.006692,38,1.19694
-1008.936315,38,1.202936
-1005.462057,44,1.209828
-1012.457159,46,1.217029
-1008.660354,33,1.222183
-1009.253482,40,1.22843
-1015.808337,54,1.236836
-1007.613572,50,1.244694
-1011.45447,54,1.253079
-1008.901223,50,1.260843
-1013.215027,49,1.268478
-1008.952568,32,1.273529
-908.809591,47,1.280885
-808.594726,35,1.286355
-907.52266,32,1.769809
-1015.036464,64,1.780074
-1008.063386,32,1.785144
-908.099677,40,1.791475
-1008.864799,45,1.798555
-1009.278408,39,1.804582
-1007.879055,40,1.810767
-1006.463834,39,1.81681
-1006.158224,52,1.824831
-1008.868409,56,1.833406
-1012.000104,42,1.840303
-1009.621488,53,1.848514
-1005.765624,34,1.853768
-1007.426751,31,1.85854
-1005.575411,38,1.864422
-1008.50796,34,1.870004
-1006.979938,45,1.876921
-1010.082111,39,1.88299
-1006.835641,39,1.889089
-1007.265757,47,1.896272
-1013.980372,60,1.905419
-1005.748619,37,1.911121
-909.194101,52,1.919294
-1007.199616,57,1.928315
-1011.695511,65,1.938669
-1005.089717,32,1.943795
-1008.201047,46,1.951113
-907.662931,37,1.957488
-1006.146116,48,1.965246
-1008.367601,32,1.970347
-1012.21171,56,1.979343
-1008.94216,40,1.985828
-1011.608615,60,1.995586
-1018.933279,56,2.004403
-905.959698,36,2.010089
-1008.014044,43,2.016913
-1009.720472,46,2.024264
-1007.707887,41,2.030841
-1008.300623,38,2.036939
-1010.361483,35,2.042432
-1006.863134,32,2.047374
-1007.794507,46,2.05495
-808.269485,48,2.062694
-1010.479931,39,2.068966
-1008.898665,38,2.075037
-1009.420664,41,2.081476
-1010.799835,47,2.088853
-1010.441417,47,2.515368
-1012.01069,61,2.525032
-908.364538,88,2.538845
-1008.097696,31,2.543809
-908.173033,36,2.549542
-1008.727036,42,2.556338
-1006.860086,34,2.561864
-1020.121702,56,2.570798
-1011.371748,44,2.577814
-1006.95747,56,2.586646
-916.406989,66,2.59722
-1007.38984,44,2.604233
-909.258061,39,2.610414
-1008.69409,45,2.617545
-1004.481837,33,2.622779
-908.169426,52,2.631053
-1007.426042,42,2.637759
-1007.769239,34,2.643098
-1005.102054,32,2.648143
-1013.015995,53,2.656429
-1007.610114,31,2.661426
-1005.766077,33,2.666741
-1007.748835,43,2.673591
-1007.843329,44,2.680439
-1006.920799,31,2.685334
-908.741291,34,2.691296
-1010.128403,47,2.698968
-807.556604,64,2.709052
-1007.691942,38,2.715069
-1009.73233,36,2.720741
-1010.151763,35,2.726222
-1012.184802,70,2.73737
-1009.196552,38,2.74332
-1008.052994,55,2.751811
-1007.370669,38,2.757718
-1004.799716,29,2.7623
-1009.425219,34,2.767509
-1007.086171,42,2.773923
-1007.666141,36,2.779446
-907.433093,32,2.784454
-908.121499,36,2.79006
-1005.00576,38,2.796348
-1005.050907,38,2.802415
-1006.600973,39,2.808647
-1005.521388,32,2.813674
-1010.003673,39,2.819823
-1009.487794,34,2.825205
-1008.118105,38,2.831488
-808.068041,37,3.260474
-1022.414234,80,3.27341
-1009.745508,58,3.282973
-1010.23985,36,3.288773
-906.308333,53,3.297285
-1008.11947,33,3.302609
-907.047495,59,3.312158
-907.311282,41,3.318913
-1011.915677,53,3.327392
-808.019023,40,3.33379
-1005.608953,37,3.339681
-906.776454,41,3.34625
-906.12379,44,3.353263
-1006.931574,39,3.359493
-1006.998089,29,3.364682
-1005.748345,36,3.370606
-1006.50343,47,3.378508
-1007.128522,31,3.383674
-1010.743891,44,3.390816
-1010.60392,48,3.398627
-1006.100404,36,3.40443
-1011.967456,64,3.41456
-1010.125368,36,3.420289
-906.30941,31,3.425626
-908.008949,33,3.431276
-1009.033805,40,3.437735
-906.78607,49,3.445533
-1006.96812,42,3.452535
-1014.124831,62,3.462485
-1007.440665,32,3.46766
-1007.348229,44,3.47466
-1010.066659,48,3.482305
