#{"t_start": 1767566401.1789927, "env_id": null}
r,l,t
-1007.876801,30,12.036313
-907.795092,52,12.061247
-1007.955085,34,12.084158
-1009.457541,51,12.110088
-1011.985157,44,12.132028
-1006.656484,41,12.151976
-1007.88597,39,12.171923
-1016.676147,65,12.204834
-1008.538126,51,12.230764
-1011.475299,53,12.256695
-1007.9553,34,12.274675
-1007.092422,44,12.296617
-1012.253792,52,12.328533
-905.751951,31,13.408355
-1010.260824,46,13.43628
-1007.220223,35,13.458221
-905.27982,41,13.480162
-1008.122586,52,13.509323
-906.954567,35,13.534255
-1009.995384,40,13.560186
-1005.567183,43,13.59313
-1006.85084,36,13.611085
-904.702459,34,13.629297
-1007.019287,42,13.650236
-907.5487,32,13.666194
-1007.798788,38,13.686141
-912.223652,76,13.724104
-1007.576633,36,13.74276
-1008.920779,35,13.761225
-910.45838,47,13.784166
-1008.982933,42,13.804155
-906.747583,35,13.821172
-907.500215,50,13.850718
-1010.537871,47,13.874717
-905.504142,41,13.895727
-1008.612381,36,13.914742
-1007.141163,40,13.934751
-1007.838309,35,13.951767
-1011.689646,43,13.972777
-1009.66428,35,13.991798
-1011.390851,41,14.012772
-906.807225,35,14.031491
-1009.438457,64,14.063409
-1006.3391,34,14.088337
-1007.646671,46,14.111278
-1008.470098,37,14.130227
-1009.167176,36,14.149209
-1008.299301,46,14.172187
-1009.188063,38,14.191197
-1006.680016,32,14.208222
-1009.007003,50,14.232121
-1009.019853,34,14.249076
-1009.062618,43,14.272043
-1008.662163,43,14.294678
-911.74489,69,14.33654
-1008.54131,44,14.359508
-1009.780252,35,14.378456
-1005.057356,33,14.394414
-815.16943,81,14.436302
-1007.525891,41,14.458215
-1010.718255,62,14.491913
-1007.309834,37,15.742165
-908.062398,43,15.764105
-1011.398299,41,15.788042
-1010.424414,40,15.816964
-1006.297352,40,15.845886
-907.452233,45,15.874809
-1008.07923,39,15.899742
-1013.94492,51,15.930695
-1010.309063,46,15.954596
-1007.069251,49,15.980557
-1010.358401,41,16.000474
-1011.448915,47,16.024409
-1006.763392,40,16.043359
-1009.266891,46,16.067296
-1008.229777,51,16.093226
-1010.997132,40,16.121768
-1007.993386,37,16.140718
-908.989247,36,16.159667
-1007.40804,33,16.176621
-906.976791,35,16.19458
-1009.347755,44,16.217512
-1009.650711,36,16.235464
-1009.018766,36,16.254413
-911.848192,48,16.279355
-907.983446,37,16.298298
-1010.043211,32,16.315251
-1006.614859,43,16.336195
-1006.914606,39,16.360132
-1009.080824,42,16.38108
-1010.131228,47,16.405011
-1009.084597,48,16.428948
-1006.520329,35,16.446871
-1025.940698,68,16.481808
-1008.59907,39,16.501752
-907.470011,32,16.518708
-1012.113467,66,16.551619
-1008.089105,47,16.576552
-1008.362515,41,16.604449
-1011.236574,47,16.628414
-1010.617882,49,16.65232
-1009.461088,47,16.67526
-908.055735,41,16.695205
-1008.229001,39,16.715662
-907.278965,46,16.737603
-1012.582684,62,16.76852
-1008.337258,34,16.785475
-908.113097,44,16.807447
-1006.781532,36,17.858102
-1007.442545,36,17.879062
-1006.503991,54,17.908035
-910.602762,48,17.937109
-1009.146228,35,17.963009
-1015.69733,66,18.013926
-1009.558002,46,18.045841
-1007.667398,39,18.06679
-1012.06285,52,18.094742
-1008.581442,40,18.122635
-1008.126465,41,18.144577
-906.452093,33,18.161533
-1007.985972,31,18.17749
-1007.676029,35,18.195441
-1008.35551,35,18.214148
-1006.94181,34,18.231102
-1008.440889,39,18.252045
-1012.109727,47,18.274985
-1007.4831,37,18.294963
-1010.766126,40,18.316498
-1008.586745,40,18.336472
-1010.020704,39,18.364956
-1008.15787,47,18.388895
-1011.756575,45,18.411861
-917.181412,77,18.450758
-1009.536622,35,18.468715
-1008.835417,34,18.485636
-1010.511941,60,18.516554
-1009.923487,38,18.5365
-1009.977731,38,18.556446
-1007.734715,37,18.574398
-1008.977386,32,18.590356
-1010.59611,47,18.613295
-1005.834384,34,18.637259
-1012.489559,67,18.672196
-1008.403767,45,18.695138
-1008.155878,37,18.71409
-1011.555058,81,18.754947
-1009.585485,43,18.776399
-1006.084214,42,18.797342
-1008.34969,36,18.814297
-1007.28653,31,18.829258
-1008.223806,37,18.84724
-909.228672,37,18.865162
-1010.715151,34,18.890122
