#{"t_start": 1767731762.567345, "env_id": null}
r,l,t
57.822184,240,10.634837
-739.895769,124,10.668056
-934.46377,190,10.718802
379.217895,240,10.780715
-1019.702028,121,10.811403
270.550968,240,10.881922
374.689753,240,10.947825
-808.240429,60,10.964725
-958.295982,179,11.009867
372.096389,240,11.078255
-918.527545,126,11.110005
-831.954058,165,11.160612
-840.748019,232,11.220569
460.412418,240,11.285963
372.144612,240,11.351625
181.180266,240,11.41424
73.287527,240,11.475059
-639.868129,215,11.535557
568.045931,240,11.606463
266.348414,240,11.672431
-431.318379,227,11.733777
-612.108214,128,11.770398
584.573138,240,11.840066
-1011.542896,50,11.852565
-908.564918,89,11.876901
355.620092,240,11.939993
-921.29614,157,11.983625
279.27238,240,12.051569
378.518495,240,12.115911
240.229341,240,12.186394
464.476789,240,12.252915
-630.592892,216,12.311815
-1043.340442,226,12.372568
-631.171185,215,12.432103
171.077211,240,12.498256
358.149316,240,12.565699
456.553807,240,12.631704
-816.853416,122,12.665152
467.479902,240,12.730622
251.800247,240,12.795
-909.479397,91,12.817887
270.044167,240,12.881837
-912.449626,97,12.90779
280.223169,240,12.971009
276.061297,240,13.033116
572.525468,240,13.095368
-907.370387,52,13.109622
263.235285,240,13.173305
276.327096,240,13.243214
383.602433,240,13.306197
-934.94796,129,13.339276
-740.789191,213,13.398232
264.366856,240,13.463379
372.36919,240,13.527711
378.508503,240,13.590553
673.387485,240,13.656446
-618.266001,147,13.69848
691.687992,240,13.766573
-832.727086,143,13.804582
374.407036,240,13.869371
-951.91386,192,13.922002
-749.60013,165,13.964811
-323.922362,220,14.022163
-911.528018,89,14.044628
159.511773,240,14.109393
-1014.374843,45,14.122314
264.253906,240,14.18695
-1008.776023,60,14.202434
-815.90424,66,14.219168
-907.35534,63,14.236414
271.186838,240,14.303397
-720.556196,140,14.342876
-831.877435,130,14.377245
768.584531,240,14.441678
171.003678,240,14.503984
268.874833,240,14.56876
261.231088,240,14.635085
-523.857852,194,14.686557
266.295824,240,14.752503
-926.167723,98,14.779605
481.823542,240,14.846138
473.079257,240,14.912173
565.068601,240,14.9773
-932.51362,168,15.024159
677.779826,240,15.087549
-653.912605,231,15.146411
781.951999,240,15.20899
55.106343,240,15.270603
-916.526451,73,15.290328
572.942019,240,15.354944
257.841683,240,15.420321
368.887978,240,15.484706
969.651121,240,15.546786
-825.586099,152,15.584608
378.289482,240,15.646601
283.855046,240,15.710999
-818.401359,60,15.72857
-729.075833,160,15.773831
-954.559124,121,15.806757
-817.675774,119,15.837566
370.22995,240,15.902949
-817.326524,132,15.940641
-1022.560856,103,15.967532
-45.149908,240,16.03138
-911.489009,64,16.047969
-918.358372,62,16.06399
-915.102351,83,16.086763
-732.812368,173,16.13194
-812.329596,55,16.146526
-922.630305,133,16.183242
-836.925291,139,16.219275
-923.46371,129,16.252021
-916.146889,74,16.271339
-832.137891,134,16.307732
-921.048014,128,16.343166
-916.185898,66,16.359421
-1036.632649,115,16.388562
-622.019501,151,16.426474
252.580724,240,16.494298
-922.936252,122,16.533503
-910.834788,54,16.546653
-814.457566,96,16.572375
-512.637043,126,16.604048
-712.507225,52,16.617906
-823.911551,115,16.647549
-912.821961,75,16.668613
-809.783326,55,16.684399
-914.79539,90,16.710236
-725.827068,93,16.736759
-920.251797,80,16.75947
