#{"t_start": 1767782431.2302463, "env_id": null}
r,l,t
-710.031545,65,0.085781
-313.232219,171,0.299421
-915.284731,46,0.350288
550.792692,240,0.608621
-622.693815,127,0.752748
-635.167787,220,1.02853
-818.253683,104,1.145069
-415.736633,127,1.303646
-609.976385,93,1.425391
241.888589,240,1.700851
876.241842,240,1.97264
-737.832422,179,2.184112
-813.529546,107,2.314767
-914.592165,42,2.369127
-916.372291,63,2.445295
-816.198804,182,2.668719
-617.336141,146,2.833739
-544.123974,214,3.09662
872.967016,240,3.384877
-713.567537,121,3.534986
-709.832973,57,3.600812
265.877483,240,3.875094
784.310679,240,4.167839
557.103878,240,4.442134
-911.761326,55,4.504969
-708.884975,89,4.610194
467.893419,240,4.882999
773.693803,240,5.160286
771.185663,240,5.443047
-908.380703,51,5.502898
-423.187126,176,5.698885
781.402932,240,5.995019
-912.557631,51,6.05437
-910.461261,42,6.102242
-1007.346012,49,6.166071
-716.627118,140,6.335133
-642.905289,180,6.557058
770.349923,240,6.855278
657.638524,240,7.13714
570.914712,240,7.435366
-612.311595,103,7.544094
-212.278625,183,7.753596
468.492294,240,8.051281
360.219194,240,8.344567
-908.069267,45,8.389447
-908.520266,50,8.449288
-711.741422,96,8.562985
-909.524696,43,8.61286
-629.39127,159,8.796397
-912.634941,45,8.847261
-714.625691,115,8.986061
-608.04609,87,9.075834
-312.363014,141,9.25139
-907.559093,52,9.313263
1191.96355,240,9.607671
783.503588,240,9.882466
-912.246663,52,9.955284
982.232877,240,10.254734
-814.946003,78,10.354467
679.901903,240,10.642235
-616.652805,123,10.775388
767.468818,240,11.057669
986.224418,240,11.350091
-628.114897,179,11.545587
-808.646791,47,11.599444
780.230605,240,11.881576
-610.250005,100,11.994801
644.675709,240,12.271583
471.847718,240,12.578833
483.496397,240,12.878562
455.756285,240,13.149033
569.062173,240,13.411864
-611.973488,89,13.509619
669.224681,240,13.785676
677.82014,240,14.067942
1078.168452,240,14.362671
-565.647248,237,14.666026
