#{"t_start": 1767471139.7605793, "env_id": null}
r,l,t
-1008.505376,38,14.28137
-1006.154105,37,14.349022
-1007.347433,34,14.385854
-1007.596122,35,14.42874
-1008.767193,35,14.473648
-1006.852358,39,14.54151
-1006.983207,36,14.589422
-1007.775861,36,14.642792
-909.194809,36,14.698681
-1009.605245,35,14.753601
-1008.696261,36,14.811446
-1008.046482,36,14.865344
-1008.335968,39,14.915729
-1007.424633,34,14.976607
-1008.596545,32,15.027471
-1008.100323,40,15.089821
-1008.612003,33,15.138701
-1007.060353,37,15.203527
-1007.016221,39,15.262375
-1007.374386,33,15.306767
-1007.861613,47,15.369823
-1008.219342,37,15.422685
-1009.070417,36,15.473553
-1007.725334,36,15.542379
-1008.316048,32,15.596743
-1008.148532,34,15.651597
-907.253719,37,15.713434
-1009.508581,36,15.759826
-1009.448464,35,15.818678
-1008.883055,38,15.874537
-1006.840037,36,15.921418
-1009.065509,31,15.967859
-1007.881895,41,16.020487
-1007.767323,38,16.078309
-1008.580398,35,16.12706
-907.004787,34,16.179683
-1008.078318,36,16.230547
-1006.922715,35,16.281411
-1009.295126,38,16.346772
-1007.680643,36,16.397636
-1009.129798,35,16.457477
-808.145006,34,16.505347
-1007.493025,37,16.57471
-1009.322762,32,16.631558
-907.000628,38,16.684417
-1008.300237,33,16.727978
-1006.477235,35,16.780853
-1007.11583,37,16.84568
-1008.227446,33,16.898539
-1007.336418,39,16.963881
-1006.901905,34,17.015743
-1009.495157,34,17.059624
-1007.160535,34,17.121459
-1008.589231,38,17.173328
-1008.322067,33,17.215958
-1008.203616,34,17.265824
-1007.952538,34,17.306716
-1007.306545,33,17.360572
-1007.633669,40,17.415429
-1007.63035,34,17.462191
-907.091062,39,17.51946
-1009.407934,35,17.576227
-1008.445105,33,17.639166
-1009.165459,31,17.675148
-1007.383606,36,17.723217
-1008.67291,32,17.776231
-1008.794956,31,17.826251
-1008.485068,35,17.874214
-1006.706914,32,17.91123
-1006.267735,33,17.955281
-1006.249237,39,18.016288
-1007.296644,37,18.068461
-1008.121897,33,18.128503
-1007.607702,32,18.172461
-1006.522756,36,18.219404
-1008.017156,33,18.267431
-1008.351083,35,18.312463
-1007.3215,35,18.366415
-1010.13287,36,18.417856
-908.833974,39,18.476311
-1008.206538,36,18.521309
-1008.160059,32,18.567296
-1008.815966,33,18.626363
-906.665872,41,18.686288
-1010.306758,37,18.740232
-1007.664291,34,18.784171
-1008.162894,36,18.848028
-1007.955055,36,18.897894
-1007.038147,35,18.947762
-1006.505198,35,18.987654
-1006.455875,36,19.030058
-806.568995,38,19.087903
-1010.076136,32,19.134777
-1006.649937,38,19.185642
-1008.69012,39,19.242501
-1008.77947,32,19.289413
-1007.36616,37,19.355268
-1009.128087,34,19.40115
-1008.139726,34,19.44504
-1008.604192,37,19.488987
-1008.245355,32,19.546659
-1007.205347,38,19.621463
-1006.670403,36,19.670338
-1009.676792,31,19.723869
-1008.013084,36,19.787699
-1007.433761,39,19.85951
-908.022448,35,19.92335
-907.465271,35,19.983779
-1009.693924,39,20.04462
-906.211856,37,20.11903
-907.928686,40,20.180865
-1008.520887,32,20.22375
-1007.103451,35,20.272619
-1006.656306,37,20.341435
-907.992622,34,20.407517
-908.874064,37,20.478906
-1006.977582,40,20.546725
-1009.02515,38,20.612224
-1006.91713,38,20.673099
-1009.101601,33,20.732939
-1008.984122,37,20.786795
-1009.36024,36,20.857607
-1008.708782,38,20.924681
-1008.369812,35,20.997012
-1006.816488,39,21.06882
-907.626931,37,21.142622
-1007.874362,35,21.201468
-1010.050215,33,21.262645
-908.555243,36,21.344105
-1006.878372,39,21.409929
-1008.595132,40,21.476751
