#{"t_start": 1767779297.766817, "env_id": null}
r,l,t
-1007.766102,39,2.224633
-909.125415,38,2.279487
-1011.754514,50,2.33934
-1010.6879,40,2.388209
-1010.331313,49,2.448057
-906.116121,36,2.485962
-1011.436393,46,2.537328
-1008.468851,37,2.583215
-1008.002415,33,2.619121
-1010.356147,62,2.698415
-1008.842678,38,2.74833
-1007.866994,41,2.812929
-1006.984176,34,2.855678
-1007.634217,36,2.893983
-1011.607468,53,2.946815
-1007.234581,38,2.984402
-1006.284633,33,3.02629
-1007.708499,31,3.056209
-1010.573299,37,3.095105
-1010.019704,45,3.150957
-1008.39071,34,3.185866
-1010.130015,40,3.235737
-1008.89037,38,3.285603
-1007.971887,52,3.343454
-1007.326049,44,3.401163
-1010.768414,37,3.445077
-908.421448,49,3.495449
-1007.052807,32,3.529363
-1006.017498,30,3.563277
-1009.926119,46,3.618134
-1008.285753,42,3.66607
-1012.349484,54,3.723395
-1007.493849,44,3.777256
-1006.710989,36,3.813167
-1007.745218,53,3.866531
-1012.928585,47,3.924287
-1007.433312,36,3.976375
-1006.952896,37,4.020261
-906.779563,35,4.061155
-808.239123,67,4.152418
-1008.936468,51,4.219368
-909.255177,35,4.263258
-1006.274214,39,4.313138
-1006.22751,31,4.347054
-1007.313919,35,4.382464
-908.933101,36,4.434329
-1009.494827,66,4.50115
-1007.514872,41,4.548535
-1007.618406,35,4.595285
-1007.871027,51,4.656122
-1005.552222,42,4.699519
-1010.532571,48,4.751386
-1009.000539,33,4.79926
-1011.609357,42,4.846145
-1009.187076,38,4.893522
-1018.819945,56,4.960351
-1006.726989,36,5.008222
-1009.404669,43,5.059593
-1008.691972,39,5.106468
-1007.079676,42,5.155339
-1008.139623,31,5.188251
-1006.981437,35,5.224161
-1010.887225,41,5.264561
-1005.446314,32,5.299468
-1008.30194,33,5.342353
-1008.891052,51,5.399212
-910.451043,39,5.440106
-1009.011827,56,5.520407
-1007.93285,51,5.579255
-1008.429029,37,5.624137
-1005.388943,32,5.658551
-909.63654,52,5.712407
-1010.942073,41,5.772247
-1009.398696,46,5.822618
-1009.87768,36,5.866501
-909.710479,41,5.90939
-907.879382,43,5.961254
-1007.949179,36,6.008634
-1008.334284,49,6.068479
-1011.031194,47,6.125377
-1008.666982,41,6.165331
-1009.874277,37,6.210304
-1010.08194,45,6.260678
-907.846419,49,6.328592
-806.487429,41,6.378928
-1008.212816,34,6.41483
-1009.141924,31,6.453732
-1007.25146,37,6.505596
-1010.202722,37,6.543495
-907.727874,45,6.595356
-1008.478601,37,6.635285
-907.890628,42,6.693602
-1009.381044,34,6.731507
-1009.344431,32,6.762425
-1008.058206,43,6.806312
-1009.361245,38,6.845749
-1008.224692,32,6.883616
-1007.863878,37,6.923513
-708.650459,50,6.979367
-1006.648905,37,7.021255
-907.536267,40,7.065665
-909.629951,47,7.117516
-908.227561,46,7.171375
-1010.86611,54,7.230727
-1012.34376,72,7.307527
-906.731322,46,7.356404
-1009.760695,34,7.39331
-1006.027172,36,7.435705
-1007.002524,36,7.49072
-1010.209495,35,7.537595
-1008.939068,43,7.582475
-1008.865061,35,7.621371
-1006.393017,36,7.663767
-1008.321182,38,7.704664
-1008.309523,34,7.743559
-1010.290959,42,7.791433
-1008.446765,32,7.82634
-1009.671044,36,7.862752
-1008.733719,54,7.91661
-1007.095818,35,7.960493
-1013.46843,44,8.009363
-1007.709312,49,8.079685
-907.434233,42,8.140532
-1008.034639,34,8.175439
-1005.436867,33,8.207354
-1004.912569,45,8.253736
-1011.74746,58,8.320557
-1011.29817,45,8.36943
-908.370418,38,8.407832
-907.576352,56,8.477655
-1009.30195,42,8.52453
-1009.814764,42,8.570411
-1005.90586,34,8.621779
-1012.896959,47,8.672643
-1009.382128,44,8.728497
-1008.01989,33,8.771384
-908.15529,35,8.821759
-1008.387566,44,8.87699
-1009.813127,39,8.930926
-1009.217169,39,8.980974
-906.85088,35,9.016094
-1006.844989,40,9.057102
-1010.724617,56,9.119224
-908.945128,46,9.171234
-1006.429239,28,9.199296
-1008.249434,42,9.263594
-1008.733904,40,9.316456
-1010.812347,40,9.371399
-1006.888434,36,9.409347
-1008.201229,43,9.465892
-1010.96929,49,9.521453
-1006.248805,36,9.564541
-1008.935055,40,9.621397
-1007.531861,41,9.671357
-1013.425232,49,9.7303
-1009.823469,57,9.797241
