#{"t_start": 1767475001.0456302, "env_id": null}
r,l,t
-1007.43175,41,0.06395
-1008.77897,42,0.1218
-1008.044847,40,0.178115
-1010.180819,46,0.241952
-911.028753,50,0.322255
-907.903708,33,0.368142
-1008.964048,39,0.427988
-1009.73329,34,0.47387
-1007.72814,42,0.529229
-1008.979693,60,0.620987
-1008.075041,46,0.682823
-1007.17633,42,0.736459
-906.496301,44,0.801065
-1009.238132,43,0.864895
-1008.610534,38,0.913529
-1006.972126,41,0.967551
-1009.270271,50,1.041497
-1007.337131,38,1.100021
-1008.330524,47,1.176358
-1012.036844,54,1.249896
-1007.42069,39,1.303783
-1006.977273,30,1.351614
-1008.424898,48,1.417474
-1007.415275,52,1.485295
-908.522966,42,1.543149
-1007.039449,42,1.598012
-1007.315646,40,1.651919
-1007.853584,35,1.698903
-1008.981145,37,1.748918
-1011.594861,38,1.809912
-1008.983175,38,1.859938
-1011.425688,42,1.904902
-1009.730398,32,1.945868
-1007.024718,39,2.000938
-907.34332,36,2.050942
-1008.060957,35,2.090941
-1006.698356,43,2.154934
-1006.56005,35,2.196906
-908.347972,35,2.258703
-1007.177009,34,2.297778
-1008.933368,35,2.345848
-1007.24632,41,2.388921
-1006.40599,37,2.442956
-1009.083327,34,2.493362
-1008.629317,41,2.546571
-1007.436445,41,2.601436
-1006.926782,33,2.646353
-1006.41947,34,2.698193
-1010.172606,39,2.751054
-1006.277059,39,2.799966
-907.401015,37,2.842944
-1008.98463,31,2.87598
-1008.499056,38,2.938977
-908.32001,39,2.990919
-1008.156108,30,3.026895
-1007.536023,34,3.074849
-1006.750504,36,3.127911
-1009.023395,35,3.173996
-1007.575625,35,3.220954
-907.806678,38,3.273887
-1008.998334,34,3.322988
-1008.470244,34,3.364991
-708.455436,39,3.419031
-1009.255611,32,3.466008
-1008.973791,36,3.52106
-1009.697873,32,3.573
-1007.953461,32,3.610022
-1008.550146,37,3.659038
-1008.582094,30,3.691006
-907.805391,31,3.731049
-1009.438312,33,3.767037
-1008.342514,31,3.801037
-1008.391697,32,3.842998
-1007.192597,38,3.884074
-1007.602339,38,3.930009
-1008.031398,37,3.982022
-1010.332899,39,4.036123
-1007.664768,36,4.082081
-1006.514661,34,4.13503
-906.551845,36,4.193059
-1007.995768,32,4.240054
-1007.742608,34,4.293085
-1008.615676,32,4.355074
-1009.488174,34,4.398026
-908.966923,35,4.448
-1008.97893,40,4.507067
-1008.109487,34,4.561073
-909.168143,43,4.618042
-1008.007424,34,4.664007
-1008.276442,32,4.712051
-1007.193514,38,4.771145
-808.795674,37,4.813119
-1006.862765,35,4.857104
-908.017379,34,4.899116
-907.02963,33,4.940102
-908.610763,33,4.982098
-1007.182326,34,5.024089
-907.41623,33,5.064051
-1008.24669,32,5.097055
-1007.988701,38,5.155984
-1006.935,36,5.206981
-1006.53795,36,5.256506
-1009.211851,31,5.298051
-1008.553378,33,5.347993
-1007.959592,32,5.394927
-1008.362119,33,5.440925
-1007.089664,37,5.486976
-1007.423459,35,5.538019
-1008.222232,34,5.584084
-1009.29422,37,5.636614
-1008.218752,35,5.690167
-1008.428666,35,5.73121
-1009.489845,33,5.768206
-1007.352093,38,5.828142
-908.279568,36,5.877101
-1006.529202,33,5.9291
-1008.979458,30,5.970082
-1009.278921,36,6.018083
-1008.417212,34,6.06404
-1007.493245,37,6.116543
-1008.449532,34,6.16704
-1009.046885,33,6.213005
-1007.92141,32,6.252969
-1006.395316,36,6.303952
-1007.892669,35,6.347019
-1007.495524,40,6.39403
-1007.030179,34,6.439068
-1009.107057,32,6.487072
-1006.99374,35,6.538112
-1007.146766,37,6.592102
-1007.890382,34,6.632119
-1007.315079,32,6.675141
-1008.272138,34,6.720096
-1008.195985,33,6.763111
-908.365723,37,6.820099
-1008.433525,33,6.858165
-1008.711065,33,6.899195
-1007.442958,35,6.950264
-1007.390267,32,6.996771
-1007.245777,37,7.059273
-907.522509,31,7.108293
-1008.245998,33,7.157313
-1008.059263,34,7.198288
-1007.074133,35,7.248265
-1006.368715,37,7.299238
-1007.805331,33,7.34028
-906.521571,37,7.394278
-1009.911596,34,7.442216
-1006.619387,37,7.499282
-1009.073033,34,7.54323
-1006.840237,35,7.598327
-1008.912167,34,7.63832
-1006.368633,37,7.689291
-1008.627804,33,7.733465
-1008.447811,34,7.783312
-1008.486538,35,7.829354
-1007.094599,34,7.872322
-907.935593,32,7.916324
-1006.739099,35,7.969312
-1008.62917,38,8.014278
-1008.10148,33,8.075335
-1007.557668,35,8.128332
-1006.940296,35,8.180304
-907.776923,33,8.219313
-1008.1848,35,8.261303
-1008.126464,32,8.303337
-1008.216363,37,8.347369
-908.255825,32,8.387427
-1007.198029,35,8.431381
-1009.266524,31,8.475323
-1007.983758,34,8.520392
-1009.021651,34,8.574324
-1006.438301,35,8.626368
-1006.516018,39,8.674338
-1008.177225,32,8.713318
-907.848055,33,8.756844
-1006.847565,36,8.800382
-1007.236148,33,8.849361
-1009.089363,32,8.897454
-1006.218683,35,8.946871
-907.662085,35,9.000338
-1008.580525,34,9.046824
-1006.274797,36,9.092354
-907.90972,36,9.133341
-906.165831,36,9.184411
-907.943415,31,9.227397
-1008.158701,33,9.274434
-1008.661213,37,9.329386
-907.538371,33,9.375441
-1006.490594,36,9.431427
-1008.235108,38,9.485362
-1006.616038,36,9.536865
-1007.61501,37,9.592332
-1007.554203,34,9.649423
-1009.566521,36,9.699426
-1007.493443,35,9.744422
-908.512903,36,9.794387
-1007.429852,34,9.845349
-1007.865322,38,9.902412
-1008.751382,36,9.954436
-1008.756542,35,9.994483
-907.999232,41,10.060457
-1009.008772,33,10.109392
-1007.856394,31,10.148354
-1008.514184,31,10.191309
-1007.636266,34,10.238326
-807.210447,37,10.288319
-908.030585,32,10.329274
-908.222302,33,10.383532
-908.204254,33,10.432934
-1009.1083,31,10.47187
-907.044058,34,10.517782
-1006.696783,38,10.567776
-1007.167449,34,10.611791
-907.836018,32,10.652683
-1006.702014,35,10.698573
-1007.31995,37,10.755508
-1008.154761,33,10.804511
-1008.356659,35,10.853451
-1006.685141,35,10.9185
-1008.147865,34,10.966527
-1007.510748,36,11.014457
-1009.025975,34,11.058417
-1009.203557,35,11.102369
-1008.6696,36,11.161449
-1006.820291,36,11.221473
-1006.413617,36,11.27344
-1008.954206,35,11.321471
-1006.540778,34,11.364506
-1007.585991,34,11.403542
-908.33176,37,11.455556
-1007.070771,34,11.49702
-1006.27268,35,11.540483
-1006.783692,34,11.581549
-1007.660193,35,11.618575
-1008.600182,36,11.670585
-1008.085099,35,11.716753
-1007.916752,36,11.766637
-1007.771708,37,11.812611
-909.086807,30,11.856642
-1007.066707,36,11.903588
-907.680382,35,11.944556
-1007.804036,37,11.998615
-1008.197875,35,12.053582
-907.382177,35,12.097632
-1008.715039,32,12.139591
-1007.318366,34,12.180549
-907.050504,36,12.232513
-1006.563887,36,12.285614
-906.486686,35,12.338614
