#{"t_start": 1767474722.394237, "env_id": null}
r,l,t
-908.011031,36,0.06274
-1008.878942,39,0.124215
-1011.133574,48,0.195067
-1008.39471,32,0.232966
-1008.807846,35,0.276864
-1007.345655,45,0.334712
-1009.607489,37,0.379107
-806.922088,36,0.425986
-1009.475924,36,0.46789
-1011.359111,40,0.534746
-1008.687826,34,0.594974
-1006.505374,37,0.646672
-1008.51723,34,0.712876
-1008.360989,39,0.786799
-1007.020811,38,0.848327
-1008.4616,31,0.893689
-1008.96091,38,0.943168
-1009.632826,35,0.993037
-1007.555861,34,1.049886
-1007.880336,36,1.099756
-911.036185,56,1.192518
-1008.574869,38,1.249405
-1007.674143,45,1.317192
-1008.620139,36,1.375932
-1008.807742,34,1.418821
-1007.074538,43,1.47072
-1005.924507,38,1.521699
-1006.221875,36,1.567734
-1006.924948,43,1.622735
-1009.336938,50,1.694754
-1007.42522,36,1.743797
-905.32109,50,1.807759
-1006.298513,37,1.856843
-1007.42849,36,1.898774
-1011.438277,43,1.953736
-1008.510509,38,2.000825
-1010.142405,33,2.059823
-1006.549043,38,2.107805
-1007.739602,38,2.153743
-1007.284584,37,2.202754
-1010.120351,36,2.2568
-1006.309175,36,2.310879
-1011.127014,44,2.373868
-1010.374384,47,2.435844
-909.345503,44,2.494846
-1010.234928,38,2.539883
-1008.263927,37,2.585815
-1008.987102,34,2.630805
-1008.015534,34,2.682801
-1006.250458,45,2.746862
-907.542822,32,2.796866
-1005.510736,36,2.836806
-1007.725073,34,2.872783
-907.923232,37,2.924728
-1007.679682,38,2.979783
-908.644701,41,3.043761
-1006.944037,40,3.096685
-907.545677,42,3.153763
-1006.176886,38,3.210837
-908.729651,36,3.254804
-1007.183319,37,3.307738
-908.125928,34,3.357778
-1007.743258,38,3.415875
-1007.679607,44,3.475996
-807.134905,40,3.536933
-1010.171066,47,3.590907
-1015.781482,64,3.665912
-906.295351,35,3.709994
-1009.305674,40,3.767928
-1009.255816,30,3.805924
-806.113837,29,3.842955
-906.857179,49,3.899955
-1008.81915,45,3.96487
-1011.57836,38,4.017931
-907.957931,36,4.06696
-1006.732085,37,4.135857
-904.863529,32,4.173878
-907.367411,46,4.241938
-1005.302339,51,4.315837
-907.971209,33,4.356848
-906.992286,39,4.405784
-1008.296328,32,4.456943
-1010.203331,35,4.504991
-1014.264667,41,4.56294
-1007.28009,42,4.622999
-1009.594634,49,4.702976
-907.313104,51,4.766978
-1005.969569,32,4.811987
-1008.941502,37,4.875892
-1006.504328,33,4.924901
-1006.659356,33,4.975847
-909.106386,48,5.048758
-911.058441,50,5.125673
-1005.56816,34,5.172715
