#{"t_start": 1767475268.312368, "env_id": null}
r,l,t
-1005.917459,40,0.06084
-906.827151,35,0.111823
-1006.4713,35,0.159213
-1006.966032,37,0.207236
-1008.710721,36,0.260058
-1008.433613,42,0.315944
-1008.479757,43,0.370315
-910.515547,37,0.413199
-906.191409,39,0.466064
-1009.428335,35,0.514942
-1009.971883,54,0.590521
-1009.082827,45,0.649497
-1008.618174,38,0.707634
-1008.319749,40,0.767597
-1009.391457,54,0.838613
-1006.70102,34,0.88664
-1005.21173,31,0.927631
-904.533942,29,0.967098
-1009.297614,37,1.020227
-1010.152001,47,1.083064
-1011.651668,58,1.167543
-1006.669927,46,1.229376
-1008.943007,36,1.277254
-1009.177657,37,1.328116
-1007.857039,32,1.371003
-1007.937603,35,1.413888
-1008.65514,34,1.455783
-1010.158728,35,1.502217
-1008.262924,32,1.542109
-1008.380104,42,1.594968
-1011.405005,56,1.664785
-1010.930013,45,1.720638
-904.869832,31,1.758542
-1009.635911,31,1.799433
-1008.577633,34,1.838335
-1006.919997,35,1.881226
-907.613937,41,1.932131
-1007.403346,35,1.975029
-1006.522442,35,2.018014
-909.669321,50,2.084958
-1007.842257,40,2.132941
-1006.902636,35,2.17394
-1008.332073,41,2.225959
-908.241695,37,2.270931
-1007.400894,40,2.326979
-912.550072,78,2.424955
-1007.906662,37,2.473971
-1008.063345,41,2.51899
-1007.239461,35,2.562986
-1007.770264,31,2.601977
-1009.929195,47,2.655946
-1007.51623,41,2.710989
-1008.048986,31,2.752019
-1009.669843,31,2.789007
-1006.84281,40,2.840028
-1007.739593,36,2.883018
-1007.97283,39,2.937981
-908.797051,45,2.990071
-1007.559222,35,3.040081
-910.146312,39,3.093169
-1006.262901,47,3.154017
-1006.871208,41,3.202993
-1007.609871,43,3.266017
-1009.089548,33,3.309051
-1007.522781,43,3.366028
-1008.405613,41,3.416977
-908.038799,37,3.463918
-1009.381924,32,3.508972
-1008.016776,36,3.551123
-1014.186507,52,3.615094
-1008.499818,35,3.659066
-906.737999,40,3.707056
-1008.279931,35,3.747111
-906.287509,39,3.798039
-1010.308561,41,3.854132
-1007.898878,32,3.889089
-1008.506138,33,3.928108
-1009.125682,30,3.969072
-1008.237296,39,4.025085
-1009.598301,34,4.074087
