#{"t_start": 1767474453.6904652, "env_id": null}
r,l,t
-1007.408127,47,0.078727
-1009.978111,47,0.151318
-1013.695571,60,0.229336
-1005.833175,31,0.271419
-908.932427,56,0.351384
-1008.248165,31,0.391443
-1008.083816,45,0.460505
-1012.247563,42,0.511597
-1007.295056,38,0.569581
-1008.696349,41,0.668037
-1007.974584,31,0.716069
-1007.785058,32,0.770939
-1010.292859,38,0.83301
-1008.37503,28,0.875897
-910.971899,44,0.939725
-909.403555,48,1.011235
-1007.110851,35,1.069167
-1006.588934,31,1.126015
-1011.1437,49,1.196825
-1007.079319,41,1.256667
-906.878293,31,1.306206
-1007.217237,51,1.375023
-908.503179,37,1.430873
-1009.563877,35,1.48074
-1007.079732,35,1.528614
-1006.322803,37,1.575489
-1008.973446,42,1.630348
-1007.06695,44,1.685255
-1009.119091,37,1.736085
-1007.525808,38,1.784955
-1007.845146,41,1.839815
-1008.540136,35,1.88171
-1018.262673,61,1.964902
-1008.763785,53,2.024779
-1009.01351,31,2.060695
-1009.216674,36,2.103681
-912.483696,45,2.161687
-1009.360418,54,2.235186
-909.210853,51,2.30268
-1007.919246,41,2.352795
-913.133963,63,2.426731
-809.134434,41,2.473677
-1016.50674,53,2.547742
-1007.126152,31,2.587687
-907.487585,40,2.63875
-1010.406263,48,2.705242
-1007.355754,33,2.752676
-1007.220802,43,2.82164
-911.162327,39,2.880603
-1008.335097,34,2.935086
-1005.996352,33,2.984642
-1009.883967,54,3.06263
-1009.704901,40,3.110761
-908.477268,43,3.162791
-1006.356981,34,3.212767
-907.36837,32,3.2617
-1008.23153,35,3.302643
-1009.953463,35,3.345621
-1009.625088,33,3.384576
-1009.41582,56,3.452632
-908.95702,33,3.503805
-1004.763416,34,3.556766
-909.217007,31,3.598707
-1008.408727,32,3.632665
-1007.484033,35,3.67768
-1008.326971,49,3.74577
-913.07672,54,3.818756
-1010.05999,40,3.8727
-909.162353,38,3.928666
-1008.448685,34,3.96966
-1007.474288,34,4.01464
-1008.297159,53,4.076727
-1007.390378,41,4.133719
-1008.002697,48,4.197784
-1007.130856,38,4.247776
-1008.553707,36,4.296534
-1007.91156,43,4.356513
-1007.8127,44,4.413432
-1006.775781,37,4.461509
-1010.644512,43,4.518507
-906.456533,37,4.562479
-1009.476587,38,4.611558
-1008.165872,34,4.661601
-905.930495,31,4.705202
-1009.208498,43,4.759767
-1008.374559,39,4.812807
-1006.580047,36,4.859891
-1010.110303,39,4.91085
-1007.132787,37,4.962906
-1006.353553,35,5.008911
-1010.510334,43,5.066871
-1007.467595,31,5.107907
-1009.007392,58,5.179827
-1008.031783,42,5.228865
-1008.070199,45,5.28582
-908.111843,55,5.364683
-908.418374,41,5.426705
-906.913606,32,5.46066
-1007.395733,46,5.523616
-1009.508859,38,5.577646
-1009.584454,53,5.646585
-909.648892,45,5.705583
-908.103037,35,5.758618
-1006.470061,39,5.812681
-1007.417807,32,5.859659
-1008.921071,37,5.907745
-1006.697118,34,5.955895
-907.671452,45,6.01687
-1008.110519,39,6.065455
-1008.98813,46,6.123799
-1008.296131,42,6.179865
-907.962952,40,6.23394
-909.49689,42,6.291903
-907.456317,41,6.337892
-1006.226075,38,6.387821
-1008.141589,51,6.465284
-1008.410607,37,6.522982
-1010.218018,53,6.592038
-1008.148414,30,6.633028
-1010.359678,39,6.675526
-1006.758996,39,6.730018
-912.372993,52,6.796065
-1009.110718,33,6.845038
-1009.195145,42,6.913043
-1004.814868,33,6.951096
-1010.353474,38,6.999038
-1007.787375,49,7.064004
-1007.194567,41,7.117094
-1006.474821,47,7.181079
-905.989997,43,7.237102
-1009.563017,33,7.275561
-1006.231284,39,7.323001
-1008.978308,37,7.38307
-1009.193379,35,7.436994
-1007.158784,36,7.475454
-1009.709121,45,7.524041
-1007.16418,34,7.572006
-1005.278812,32,7.610957
-1007.82673,47,7.672884
-1010.587135,42,7.732121
-1010.159941,35,7.768069
-1009.699573,37,7.809071
-1010.057622,39,7.858044
-1006.333315,33,7.905073
-1008.931875,41,7.970115
-908.682899,35,8.010098
-1011.764762,55,8.087065
-1009.651792,33,8.132025
-1008.661584,36,8.17903
-1009.325881,43,8.232107
-1006.622553,32,8.275071
-1010.334744,36,8.324075
-1010.517916,37,8.376082
-1009.058865,50,8.443066
-1010.612137,47,8.497044
-1009.31535,37,8.537998
-1006.200361,46,8.595938
-1009.797992,41,8.648894
-1009.074923,52,8.718978
-1009.122829,36,8.760936
-1010.819906,55,8.831865
-1010.713098,38,8.887865
-908.659459,36,8.929813
