#{"t_start": 1767737369.037167, "env_id": null}
r,l,t
68.361752,240,238.823745
-6.163175,240,241.80863
-14.037467,240,244.842524
-39.63301,240,247.814769
181.088227,240,250.863453
-23.588463,240,253.74542
-28.491326,240,256.665409
-35.086456,240,259.621859
61.67387,240,262.720775
-73.917948,240,265.676995
182.900166,240,268.686733
-13.085657,240,271.703821
74.897226,240,274.72209
153.28331,240,277.72184
190.339853,240,280.679809
94.669635,240,283.591671
-14.676541,240,286.584327
-1.027163,240,289.528585
-34.540367,240,292.419972
105.772032,240,295.375841
-22.776406,240,298.411943
-4.462528,240,301.307549
-71.853021,240,304.223629
-7.873863,240,307.17738
-40.831155,240,310.111598
-23.532696,240,313.066962
-25.373455,240,315.965988
-21.510552,240,318.967186
78.291735,240,321.999858
-39.253725,240,325.002484
-33.088066,240,327.98689
75.990155,240,331.019055
-32.370377,240,334.019577
55.3055,240,336.915435
-50.791945,240,339.866438
-32.863672,240,342.818397
-55.136137,240,345.836697
44.882623,240,348.778426
-45.250864,240,351.668461
-49.85456,240,354.702471
-41.827814,240,357.745724
-61.103371,240,360.63638
-47.582174,240,363.639558
-56.910955,240,366.581885
69.009247,240,369.598025
53.036443,240,372.504824
120.806843,240,375.395919
-50.962735,240,378.417497
39.378395,240,381.322416
-105.534045,240,384.201086
-49.112329,240,387.208102
-68.423007,240,390.13339
41.151286,240,393.124712
-76.565798,240,396.089973
-71.626606,240,399.280667
-70.42908,240,402.742802
-28.895895,240,406.18749
-69.232664,240,409.661762
138.126101,240,413.126835
-67.23335,240,416.749747
-46.386305,240,420.284594
44.596154,240,423.873729
149.602677,240,427.41016
-46.880925,240,430.798752
154.458858,240,434.245146
47.650463,240,437.634793
-24.751978,240,440.954187
21.910686,240,444.397612
68.740528,240,447.34973
478.306799,240,450.207671
171.917398,240,453.109634
68.047696,240,456.060624
63.788646,240,458.984942
268.669105,240,461.861477
-737.946087,227,464.648451
148.225857,240,467.569839
-20.22106,240,470.576475
588.15879,240,473.434605
382.557204,240,476.340643
46.740358,240,479.221045
54.320829,240,482.124753
187.408631,240,484.993603
87.99003,240,487.873482
384.762658,240,490.808801
279.071834,240,493.701382
159.151991,240,496.579475
273.809644,240,499.497704
-45.335648,240,502.435673
-21.139564,240,505.333637
18.163397,240,508.205494
-25.189643,240,511.108242
29.199827,240,514.034855
370.306883,240,516.939515
289.04124,240,519.823533
378.710422,240,522.699478
-4.425304,240,525.722216
26.319702,240,529.044944
281.37784,240,532.585218
339.812202,240,536.269606
175.247505,240,540.460469
-26.899473,240,543.528945
177.950395,240,546.592687
172.972511,240,549.606849
75.303861,240,552.553756
46.508675,240,555.518559
473.845986,240,558.375397
27.374828,240,561.277602
255.74434,240,564.110339
477.579208,240,567.076931
62.271244,240,569.963443
69.193079,240,573.014454
179.953265,240,575.930057
282.963677,240,579.231579
153.346456,240,582.426492
-974.004598,195,584.949188
689.466985,240,587.96033
164.48307,240,590.854586
301.116835,240,593.716392
278.427766,240,596.669874
-45.860701,240,599.62564
35.823332,240,602.512986
176.265996,240,605.472538
50.4408,240,608.360461
254.961424,240,611.311704
9.515525,240,614.400795
167.753633,240,617.499625
141.908204,240,620.443928
172.792129,240,623.353219
124.455584,240,626.301594
386.271767,240,629.281529
186.143732,240,632.256363
101.342146,240,635.246503
276.804556,240,638.280585
179.441773,240,641.252555
277.731694,240,646.375607
179.924074,240,649.610951
-29.909305,240,652.750489
271.968034,240,655.943661
480.838606,240,659.09428
-959.912895,174,661.506459
371.173651,240,664.718379
289.904087,240,667.953551
134.311609,240,671.20327
260.101285,240,674.385907
377.29568,240,677.673689
115.971882,240,680.872416
274.700024,240,684.010034
786.718616,240,687.241148
264.366215,240,690.209989
42.847253,240,693.38877
375.609451,240,696.356691
38.191595,240,699.261946
128.371031,240,702.243542
-75.706119,240,705.171613
582.537557,240,708.289414
280.433361,240,711.219754
272.480178,240,714.132571
58.440488,240,717.059315
374.932152,240,719.980168
180.464838,240,722.959736
218.630776,240,725.88606
145.029488,240,728.855707
173.325768,240,732.038756
456.359294,240,735.038512
253.602047,240,738.065067
251.815388,240,741.13347
253.618727,240,744.177689
667.305589,240,747.153699
142.321287,240,750.191594
153.754769,240,753.325678
563.455168,240,756.53657
477.403181,240,759.888753
478.371283,240,763.074401
170.529012,240,766.507626
177.650843,240,770.037501
