#{"t_start": 1767643730.9206097, "env_id": null}
r,l,t
-1010.578219,105,161.368606
-1022.593174,118,162.784041
-1031.470869,185,165.027054
-905.678365,42,165.555085
-1014.441269,98,166.755177
-41.206368,240,169.701383
-1009.748792,71,170.540511
-1013.235287,96,171.716465
-906.927743,58,172.434552
-1018.181774,132,174.0556
163.406582,240,177.005825
-30.991777,240,180.108236
-24.449955,240,183.148239
-32.345179,240,186.083405
52.837964,240,188.976583
-32.46463,240,192.303145
-18.011157,240,195.673727
-24.302917,240,198.877152
-25.61402,240,202.115223
-39.788438,240,205.41489
-27.406493,240,208.803293
-28.024455,240,212.08548
-20.938057,240,215.572627
-1052.059496,207,218.375008
-1034.683368,205,221.143783
-16.49889,240,224.348917
-7.688068,240,227.558578
91.857196,240,230.970703
80.723266,240,234.304658
-25.703939,240,237.569956
-1030.998403,211,240.468523
-12.147589,240,243.80128
-1038.195154,233,247.013909
-1018.653296,65,247.937713
-1027.17152,178,250.491364
-1029.713435,105,252.004095
82.327061,240,255.323066
1.555895,240,258.588176
-3.295181,240,261.881077
-34.015574,240,265.463588
-19.538191,240,268.723544
-16.173613,240,272.398254
80.319802,240,275.736377
2.944866,240,279.217062
-26.217865,240,282.602721
86.652733,240,285.746933
100.017254,240,288.849008
-5.297839,240,293.142978
-7.112933,240,296.566968
96.978345,240,299.717441
1.636135,240,302.900077
178.629829,240,306.99188
-61.752022,240,310.440596
88.921669,240,313.866734
-3.556875,240,317.290999
38.571953,240,321.133203
91.211279,240,324.93586
93.004316,240,328.052735
201.668443,240,331.14898
-14.713386,240,334.296251
-20.372817,240,337.693075
187.393509,240,341.42827
-10.225945,240,344.803723
-26.483438,240,347.868034
-23.412762,240,350.934197
-12.668461,240,354.693508
91.922128,240,358.458663
87.90109,240,362.080439
-14.804114,240,365.330309
92.392844,240,368.671832
-27.284181,240,372.118137
82.640225,240,375.451205
80.520993,240,379.215481
175.584513,240,382.294195
786.489982,240,385.227454
84.670302,240,388.285894
-21.272785,240,391.28015
66.23827,240,394.314949
488.449766,240,397.317333
391.54955,240,400.259485
-1.001412,240,403.489546
-37.864858,240,406.476869
196.198465,240,409.445038
191.277884,240,412.432456
291.66814,240,415.51893
193.01834,240,418.757141
-11.921698,240,421.787551
-30.556293,240,424.856799
-11.728014,240,427.888309
82.871189,240,431.480569
184.867966,240,435.556736
-11.716635,240,439.506176
-29.629953,240,443.35176
290.380907,240,446.683582
184.354694,240,450.330733
192.204147,240,453.630214
80.21758,240,456.831067
86.502919,240,460.161595
278.415342,240,463.717614
-25.341292,240,466.983792
78.713153,240,470.188909
-11.917622,240,473.592952
71.260659,240,477.049379
-29.260675,240,480.331393
393.131946,240,483.602984
-23.151645,240,486.915362
-36.74767,240,490.406786
77.408301,240,493.861785
-16.728891,240,497.154702
289.262869,240,500.358648
192.331843,240,503.615124
183.551598,240,507.594311
53.406437,240,514.777561
169.343929,240,519.369367
194.885237,240,524.457623
-94.446847,240,529.378468
60.82596,240,533.960573
88.390359,240,538.366541
-22.223187,240,542.779243
58.185946,240,547.20072
281.167847,240,551.533437
280.235917,240,555.735051
69.132441,240,560.122443
-3.231153,240,564.640014
-97.54299,240,569.062284
289.708584,240,572.602661
49.483826,240,576.090604
72.25196,240,579.39112
295.704303,240,582.353151
-30.307497,240,585.512598
-8.325464,240,588.638745
-3.952862,240,591.744242
395.556775,240,594.637205
-22.473472,240,597.50651
-18.84683,240,600.359465
-919.471001,55,601.03154
-22.193249,240,603.990174
489.017708,240,606.918528
495.12721,240,609.869011
-982.526288,179,612.129255
88.181146,240,615.055664
288.562018,240,617.975625
-7.987481,240,620.88693
170.641489,240,623.833711
184.288129,240,626.83423
283.951219,240,629.750786
122.189291,240,632.699588
83.672265,240,635.704798
196.816645,240,638.681054
81.449532,240,641.611439
398.095535,240,644.571951
151.310056,240,647.59152
35.488938,240,650.55782
73.0329,240,653.522013
393.483267,240,656.50829
-16.902315,240,659.507082
294.154322,240,662.498163
283.586621,240,665.445676
99.322398,240,668.427325
399.984443,240,671.719147
286.696119,240,674.822348
-20.217865,240,677.945547
487.594278,240,681.337336
59.540503,240,684.596295
262.38862,240,687.892387
386.901255,240,691.058131
399.456869,240,694.117844
373.491775,240,697.374377
194.223876,240,700.660492
62.972984,240,704.537126
95.304144,240,708.406968
-1090.094015,221,711.671114
-59.551814,240,715.337904
138.690902,240,719.145792
181.211663,240,722.926441
89.265664,240,726.669438
-25.989543,240,730.593951
93.752897,240,734.240949
189.907154,240,737.592287
-14.716963,240,741.275721
281.261746,240,745.460459
-1056.491146,167,748.344561
288.464317,240,751.999057
68.717669,240,755.987605
186.841425,240,759.571094
195.439274,240,763.376445
86.883026,240,766.966049
192.118244,240,770.799699
90.016043,240,774.30438
95.220853,240,778.145552
685.011091,240,782.155087
91.024511,240,785.988764
-4.086239,240,789.7832
80.048043,240,793.643531
197.668805,240,797.383354
278.933176,240,801.312665
74.158212,240,804.947834
-1074.775708,169,807.338998
288.19659,240,810.600176
-37.622418,240,813.852329
488.412444,240,817.269947
81.310362,240,820.561881
-33.549606,240,823.844013
184.167839,240,827.027418
-47.256051,240,830.218472
-27.107061,240,833.306678
239.277399,240,836.279184
86.42968,240,839.520893
-2.507293,240,842.690231
193.159079,240,846.152246
91.054604,240,849.246582
-19.806513,240,852.343364
-2.384058,240,855.488284
87.908442,240,858.713231
-5.179132,240,862.284573
-6.683213,240,865.917651
299.024223,240,869.359052
588.747968,240,872.431248
-25.556214,240,875.529496
182.83293,240,878.56148
590.08553,240,881.727708
-10.78548,240,884.733066
697.137893,240,887.810265
-0.143992,240,890.801009
90.658019,240,893.997946
194.496419,240,897.286047
61.124934,240,900.6659
-2.827685,240,903.789296
166.58985,240,906.783532
391.598391,240,909.805717
199.037634,240,913.063108
-27.141209,240,916.430995
493.583174,240,920.119045
37.44605,240,923.694602
165.666769,240,926.949748
-6.536319,240,930.56638
178.155719,240,934.310318
192.134931,240,937.901715
392.368461,240,941.409459
281.663295,240,945.607828
-10.481567,240,949.704464
291.06442,240,953.274542
189.129047,240,956.545901
184.984561,240,959.905013
686.130118,240,963.268249
177.62718,240,966.465092
183.287503,240,969.597141
182.198724,240,972.885254
81.853946,240,976.138103
-36.456131,240,979.319736
285.605377,240,982.530507
81.658659,240,985.844798
590.204091,240,988.97207
155.492677,240,992.202072
390.908497,240,995.32535
177.080591,240,998.685489
-8.328395,240,1001.901629
172.284353,240,1005.111943
489.540881,240,1008.250063
395.363522,240,1011.842175
285.888306,240,1015.652352
485.767716,240,1019.208741
292.516954,240,1022.766309
792.310611,240,1026.133599
395.033635,240,1029.482785
158.706566,240,1033.030686
397.643466,240,1036.449995
493.577542,240,1039.884839
81.78674,240,1043.126417
387.985818,240,1046.064576
90.501192,240,1049.238824
394.735163,240,1052.399101
188.166486,240,1055.547257
382.814094,240,1058.860631
593.165436,240,1062.025678
184.163138,240,1065.177083
81.003003,240,1068.472453
188.501572,240,1071.596532
190.263805,240,1074.607439
294.575545,240,1077.781959
70.81985,240,1081.065953
591.506135,240,1084.294171
82.980013,240,1087.360217
392.946143,240,1090.469659
374.160937,240,1093.944304
-14.898937,240,1097.090231
294.836523,240,1100.142307
691.004361,240,1103.229537
15.240976,240,1106.274856
579.892017,240,1109.313501
177.156721,240,1112.403136
584.189141,240,1116.258048
181.689995,240,1122.395675
578.575714,240,1125.947477
488.580367,240,1129.830082
-5.583514,240,1133.418476
284.510392,240,1136.980277
391.49647,240,1140.876787
-939.701151,114,1142.737377
383.127523,240,1146.563546
180.016307,240,1150.335918
694.328754,240,1154.038785
492.361338,240,1157.597161
696.550478,240,1161.370693
-32.404094,240,1164.964794
-8.479462,240,1168.507173
169.765266,240,1172.043928
73.388244,240,1175.20537
-24.083955,240,1178.390669
681.551654,240,1181.512496
592.420578,240,1184.580698
396.634691,240,1187.836401
161.155849,240,1190.873147
191.733974,240,1193.89933
588.548044,240,1196.958348
494.891924,240,1200.076608
199.734289,240,1203.088787
376.920862,240,1206.211066
691.272231,240,1209.492274
388.349753,240,1212.910327
279.473253,240,1216.252644
186.958357,240,1219.415807
381.225424,240,1222.44815
499.762417,240,1225.352322
297.580603,240,1228.40354
44.625873,240,1231.871762
180.267828,240,1235.820476
396.140686,240,1239.130483
