#{"t_start": 1767474171.6948025, "env_id": null}
r,l,t
-1008.445861,39,1.721856
-1007.035363,38,1.784687
-1009.775632,41,1.841535
-1008.702551,35,1.893397
-1008.454446,42,1.943293
-1007.670734,31,1.99313
-1007.895417,34,2.036015
-912.799919,59,2.105862
-915.670347,65,2.188608
-1010.784324,44,2.24745
-1007.063626,32,2.284352
-1007.110225,43,2.341199
-1011.676757,62,2.417994
-1008.45341,35,2.464902
-1008.215125,45,2.525706
-905.683325,51,2.590561
-1009.362569,48,2.646467
-1007.425623,42,2.703497
-1012.727399,45,2.762497
-1010.957723,53,2.82541
-908.448137,40,2.878143
-906.398413,34,2.93043
-908.147672,36,2.976307
-908.205508,52,3.03844
-1008.266296,38,3.087359
-1007.939667,35,3.135542
-805.074887,38,3.192445
-1007.66123,33,3.240387
-1008.297146,29,3.285269
-1008.909307,40,3.344512
-1012.485669,43,3.405367
-1011.275635,44,3.462457
-1007.842977,40,3.51556
-1006.24041,34,3.561432
-1007.646506,38,3.61828
-1009.210455,43,3.672486
-908.069668,42,3.733393
-1008.637105,46,3.791472
-1005.511239,37,3.841352
-1008.384986,38,3.888451
-906.164063,40,3.945414
-908.44219,54,4.020476
-1005.696766,34,4.062512
-1006.319473,40,4.116501
-908.679798,39,4.173619
-1007.924616,31,4.212499
-907.556525,34,4.260529
-1007.232397,35,4.31049
-1007.534018,42,4.3685
-1006.458892,44,4.425391
-1010.102595,51,4.489502
-1009.35492,41,4.543358
-1006.495199,41,4.597427
-1022.1101,80,4.70575
-1009.717325,36,4.761433
-1007.395389,40,4.817429
-1008.854206,36,4.871286
-1007.718354,38,4.923317
-1012.293087,41,4.988041
-1009.114571,37,5.043891
-1008.033662,35,5.096749
-910.071373,50,5.16756
-1008.413719,36,5.219422
-1005.217319,36,5.267293
-1007.220899,40,5.324142
-1012.249076,63,5.415901
-1007.672589,32,5.460475
-1007.879204,42,5.523341
-906.952787,39,5.573209
-1009.420217,41,5.63205
-1009.690685,41,5.680919
-1010.127667,37,5.727826
-1008.929083,62,5.829199
-1007.068541,38,5.882078
-905.345854,36,5.940932
-909.267946,43,6.006863
-1005.520398,38,6.071307
-1008.612351,35,6.128155
-1006.628186,34,6.17902
-1007.393078,42,6.227901
-1007.106862,46,6.281775
-906.941935,41,6.337637
-1010.307573,56,6.41545
-907.676819,44,6.474295
-1007.744216,32,6.522174
-1010.457958,46,6.583058
-1007.605902,31,6.620984
-1012.781971,70,6.716165
-907.655353,34,6.764115
-1008.101685,56,6.868006
-1008.938375,35,6.925867
-908.749771,52,7.001664
-1012.299422,66,7.090428
-1008.208703,53,7.157249
-1012.062617,66,7.24103
-1008.752132,56,7.317783
-1010.209923,43,7.377625
-1009.325767,33,7.429421
-1009.849255,36,7.486514
-707.162259,51,7.5642
-1014.864285,54,7.640996
-908.688142,41,7.704823
-1008.987063,44,7.766659
-1008.026158,34,7.809573
-1007.201881,40,7.867388
-1008.931238,38,7.916289
-1008.023428,33,7.956153
-1006.503286,36,8.003026
-1005.915094,42,8.061899
-1006.896883,37,8.115517
-1005.262315,39,8.173361
-1010.433355,39,8.222232
-1007.303224,39,8.272126
-909.049946,56,8.343072
-1007.906966,34,8.389523
-1011.290832,51,8.458309
-1012.344319,56,8.543082
-1008.762478,34,8.599741
-1008.67756,41,8.661575
-1011.493269,54,8.748343
-1009.286184,36,8.802199
-1008.026381,33,8.865033
-1008.117906,41,8.924877
-1009.291807,36,8.970754
-1007.116468,33,9.015638
-1008.826665,40,9.062554
-1007.551074,46,9.133333
-1010.476855,59,9.221202
-1006.558821,37,9.268195
-1007.502404,51,9.337163
-1012.03132,47,9.400215
-1012.932684,68,9.493294
-907.082294,34,9.542695
-1013.375488,71,9.641296
-1010.780399,46,9.706221
-1009.374438,63,9.784264
-1007.460293,37,9.833255
-1009.253389,38,9.88832
-1006.548908,39,9.952724
-1005.036465,30,9.999168
-1006.882202,33,10.048122
-1012.933236,51,10.13109
-808.997366,46,10.190032
-1007.170692,32,10.235367
-1007.656352,35,10.278319
-806.612392,34,10.333234
-1008.717969,40,10.386223
-1007.263217,48,10.464206
-1008.638546,41,10.538258
-1008.172024,35,10.589235
-1009.093962,50,10.661239
-1010.18266,40,10.713297
-1008.278838,36,10.76334
-1005.009695,33,10.805244
-808.451736,34,10.848332
-907.058828,41,10.907315
-1011.281698,57,10.991206
-908.575029,41,11.048147
-1007.993256,55,11.135242
-1005.647752,33,11.182252
-1009.458866,44,11.248263
-905.856393,34,11.294251
-1007.629948,35,11.34128
-1008.132082,35,11.384273
-1005.514541,40,11.432238
-805.885667,44,11.491208
-1012.395984,42,11.556159
-1009.108195,44,11.627523
-909.405875,41,11.698413
-1009.986592,34,11.75043
-1011.805741,47,11.826227
-1008.480677,33,11.874106
-908.811261,37,11.928573
-1008.745452,36,11.982429
-1008.806552,45,12.047908
-1005.818927,37,12.103759
-908.419395,34,12.147641
-1009.670016,32,12.203343
-907.44864,35,12.26983
-1020.606759,64,12.366954
-909.112566,47,12.435017
-1008.783682,38,12.493999
-908.446376,45,12.574785
-1009.028219,32,12.641464
-1008.462655,33,12.698495
-1008.138068,33,12.763335
-1006.743827,35,12.82754
-1006.808039,35,12.884388
-1008.82165,30,12.933258
-1006.056905,38,12.999588
-1006.857356,35,13.055439
-1010.096582,39,13.100861
-1007.555582,41,13.159671
-1008.799182,34,13.211531
-1007.741493,38,13.271519
-1007.491397,29,13.318424
-1006.133544,44,13.425591
-1008.607716,31,13.480443
-1007.967741,48,13.56249
-1007.101851,34,13.633299
-1005.298662,34,13.688659
-1009.268885,46,13.755481
-1007.641343,34,13.805854
-1006.963524,36,13.851732
-1006.779575,36,13.901597
-1011.214284,49,13.997341
-906.197572,38,14.060173
-705.935481,38,14.115026
-906.534178,54,14.21077
-1009.094799,28,14.256648
-1006.6337,32,14.315491
-908.077398,37,14.373391
-1008.627994,43,14.431539
-1011.345885,56,14.509331
-1005.815167,40,14.568235
-1007.432491,37,14.636059
-1007.870325,55,14.734467
-905.507041,44,14.807271
-1007.484829,36,14.867112
-909.121645,45,14.937923
-1010.889643,39,14.995768
-1007.340491,35,15.058599
-906.696724,66,15.174291
-1007.534801,45,15.246615
-1006.549825,39,15.306454
-1008.509263,32,15.355325
-907.367698,35,15.404193
-1009.739608,53,15.485975
-1006.690857,28,15.530854
-1007.94916,36,15.585708
-1007.372066,34,15.640484
-1006.70803,35,15.698898
-906.974171,42,15.771703
-1010.626539,49,15.842516
-906.221199,43,15.911345
-1008.975282,34,15.988595
-806.9152,37,16.041064
-1008.716215,33,16.089933
-1007.784463,39,16.141795
-1015.9323,54,16.214601
-809.026147,46,16.284038
-1008.300279,69,16.383773
-909.209828,45,16.459697
-1006.478162,36,16.53306
-1006.729877,33,16.578766
-907.506767,39,16.639637
-909.310661,55,16.707573
-1006.996614,40,16.759539
-1007.818391,36,16.806511
-906.375209,34,16.855432
-1008.503689,44,16.920405
-906.973006,38,16.968403
-1005.173433,39,17.02135
-1008.154695,40,17.080357
-1010.89391,61,17.163373
-1008.02572,40,17.224387
-1007.394477,38,17.272378
-909.128404,42,17.32944
-1007.18488,40,17.383418
-1009.791063,42,17.445471
-1007.133056,33,17.490534
-1009.787334,39,17.543173
-1006.051735,46,17.626759
-1008.921983,36,17.677662
-1010.378434,41,17.738674
-806.757944,36,17.786732
-1007.109378,47,17.846813
-906.07064,37,17.89675
-1007.410945,33,17.946729
-1008.959866,37,18.003938
-1007.743978,36,18.062757
-1006.315421,50,18.121675
-1014.801422,47,18.178644
-1008.44518,37,18.237616
-1006.353167,61,18.313638
-1010.701535,41,18.370592
-1005.726255,39,18.428522
-1009.984118,38,18.478584
-1010.937998,47,18.541581
-1015.209214,47,18.603627
-1006.319379,31,18.651611
-1007.647001,39,18.696698
-1008.847841,33,18.738649
-1008.330371,37,18.782709
-1005.840051,34,18.823756
-1008.66478,40,18.879735
-1012.01797,59,18.953717
-809.303325,40,19.013725
-1013.457872,49,19.071861
-1007.958401,42,19.127889
-1007.065078,37,19.169846
-1008.526198,43,19.233821
-1006.914144,33,19.273845
-1007.704309,39,19.323817
-907.924711,43,19.378761
-1011.497087,54,19.450777
-1006.285822,47,19.523289
-1011.240462,50,19.607773
-1007.725141,45,19.670797
-1004.731856,44,19.733298
-1007.135468,40,19.790758
-809.321166,36,19.83176
-1007.108758,31,19.870872
-913.169073,65,19.951848
-907.058954,39,19.993909
-1010.467556,53,20.062811
-1008.801645,37,20.107857
-1006.51635,45,20.169795
-1012.606567,49,20.23788
-1007.491705,32,20.290896
-1008.19096,36,20.338873
-1008.284241,38,20.388832
-1007.299689,37,20.442895
-1007.553903,35,20.486966
-906.040422,33,20.531919
-906.705683,52,20.603415
-1005.325898,36,20.650913
-908.438332,37,20.693969
-1009.139605,30,20.733417
-1006.886092,38,20.783899
-1006.472942,32,20.84084
-1008.787634,43,20.900834
-908.572705,37,20.947767
-1009.658183,49,21.015719
-1007.216596,29,21.057762
-908.119622,37,21.101833
-1012.958655,53,21.172049
-907.852388,40,21.224036
-1010.61772,46,21.287964
-1007.467057,37,21.340935
-908.917876,39,21.391019
-1006.347444,30,21.426975
-1009.726457,38,21.474968
-808.579854,36,21.516982
-1009.511775,36,21.563449
-1008.92145,57,21.643044
-1006.514769,35,21.694033
-1009.612743,37,21.74795
-1009.186816,51,21.808964
-908.379145,54,21.887744
-908.203623,36,21.933251
-906.180195,35,21.979711
-1006.304811,35,22.020663
-1005.869428,36,22.077615
-909.104979,38,22.12665
-1005.893428,41,22.179702
-1007.875535,37,22.232767
-909.272486,40,22.283251
-1006.61062,53,22.349742
-1007.821243,36,22.400787
-1006.30727,34,22.441718
-1008.366197,45,22.494684
-1010.957414,50,22.553779
-908.263176,54,22.620945
-1010.353159,40,22.674043
-1007.508562,44,22.735056
-1007.847069,38,22.801955
-1008.14542,50,22.874072
-907.908953,45,22.96094
-1007.556178,45,23.033389
-1009.381956,46,23.106791
-1005.58948,35,23.161733
-1006.3523,40,23.230644
-1006.573849,38,23.296468
-1008.727925,36,23.360296
-1004.936964,30,23.407171
-1008.170655,33,23.452051
-1008.77624,39,23.505916
-806.16335,38,23.563046
-1008.303199,40,23.629867
-1006.915474,34,23.680966
-907.422115,41,23.750172
-1009.859325,39,23.809615
-1009.690821,34,23.86048
-1009.013226,35,23.91633
-1008.307238,38,23.977167
-1007.484791,40,24.041997
-1006.790209,54,24.132411
-1006.153689,34,24.189258
-1008.221583,51,24.271428
-906.844351,53,24.33825
-1009.764534,32,24.399711
-906.678849,55,24.504452
-1007.023834,44,24.571273
-1007.458243,38,24.637101
-1007.673208,39,24.704491
-1007.518856,46,24.765329
-1007.837877,51,24.855651
-1005.443259,34,24.913496
-1009.363782,39,24.977326
-1008.582988,42,25.041159
-1005.04195,40,25.102209
-1010.091158,45,25.165057
-1009.265193,33,25.218807
